date,arrivals,year,month,month_name,quarter
2018-01-01,238924.0,2018,1,January,1
2018-02-01,235618.0,2018,2,February,1
2018-03-01,233282.0,2018,3,March,1
2018-04-01,180429.0,2018,4,April,2
2018-05-01,129466.0,2018,5,May,2
2018-06-01,146828.0,2018,6,June,2
2018-07-01,217829.0,2018,7,July,3
2018-08-01,200359.0,2018,8,August,3
2018-09-01,149087.0,2018,9,September,3
2018-10-01,153123.0,2018,10,October,4
2018-11-01,195582.0,2018,11,November,4
2018-12-01,253169.0,2018,12,December,4
2019-01-01,244239.0,2019,1,January,1
2019-02-01,252033.0,2019,2,February,1
2019-03-01,244328.0,2019,3,March,1
2019-04-01,166975.0,2019,4,April,2
2019-05-01,37802.0,2019,5,May,2
2019-06-01,63072.0,2019,6,June,2
2019-07-01,115701.0,2019,7,July,3
2019-08-01,143587.0,2019,8,August,3
2019-09-01,108575.0,2019,9,September,3
2019-10-01,118743.0,2019,10,October,4
2019-11-01,176984.0,2019,11,November,4
2019-12-01,241663.0,2019,12,December,4
2020-01-01,228434.0,2020,1,January,1
2020-02-01,207507.0,2020,2,February,1
2020-03-01,71370.0,2020,3,March,1
2020-04-01,0.0,2020,4,April,2
2020-05-01,0.0,2020,5,May,2
2020-06-01,0.0,2020,6,June,2
2020-07-01,0.0,2020,7,July,3
2020-08-01,0.0,2020,8,August,3
2020-09-01,0.0,2020,9,September,3
2020-10-01,0.0,2020,10,October,4
2020-11-01,0.0,2020,11,November,4
2020-12-01,393.0,2020,12,December,4
2021-01-01,1682.0,2021,1,January,1
2021-02-01,3366.0,2021,2,February,1
2021-03-01,4581.0,2021,3,March,1
2021-04-01,4168.0,2021,4,April,2
2021-05-01,1497.0,2021,5,May,2
2021-06-01,1614.0,2021,6,June,2
2021-07-01,2429.0,2021,7,July,3
2021-08-01,5040.0,2021,8,August,3
2021-09-01,13547.0,2021,9,September,3
2021-10-01,22771.0,2021,10,October,4
2021-11-01,44294.0,2021,11,November,4
2021-12-01,89506.0,2021,12,December,4
2022-01-01,82327.0,2022,1,January,1
2022-02-01,96507.0,2022,2,February,1
2022-03-01,106500.0,2022,3,March,1
2022-04-01,62980.0,2022,4,April,2
2022-05-01,30207.0,2022,5,May,2
2022-06-01,32856.0,2022,6,June,2
2022-07-01,47293.0,2022,7,July,3
2022-08-01,37760.0,2022,8,August,3
2022-09-01,29802.0,2022,9,September,3
2022-10-01,42026.0,2022,10,October,4
2022-11-01,62199.0,2022,11,November,4
2022-12-01,82372.0,2022,12,December,4
2023-01-01,102545.0,2023,1,January,1
2023-02-01,107639.0,2023,2,February,1
2023-03-01,125495.0,2023,3,March,1
2023-04-01,105498.0,2023,4,April,2
2023-05-01,83309.0,2023,5,May,2
2023-06-01,100388.0,2023,6,June,2
2023-07-01,143039.0,2023,7,July,3
2023-08-01,136405.0,2023,8,August,3
2023-09-01,111938.0,2023,9,September,3
2023-10-01,109199.0,2023,10,October,4
2023-11-01,151496.0,2023,11,November,4
2023-12-01,210352.0,2023,12,December,4
2024-01-01,208253.0,2024,1,January,1
2024-02-01,218350.0,2024,2,February,1
2024-03-01,209181.0,2024,3,March,1
2024-04-01,148867.0,2024,4,April,2
2024-05-01,112128.0,2024,5,May,2
2024-06-01,113470.0,2024,6,June,2
2024-07-01,187810.0,2024,7,July,3
2024-08-01,164609.0,2024,8,August,3
2024-09-01,122140.0,2024,9,September,3
2024-10-01,135907.0,2024,10,October,4
2024-11-01,184158.0,2024,11,November,4
2024-12-01,248592.0,2024,12,December,4
2025-01-01,252761.0,2025,1,January,1
2025-02-01,240217.0,2025,2,February,1
2025-03-01,229298.0,2025,3,March,1
2025-04-01,174608.0,2025,4,April,2
2025-05-01,132919.0,2025,5,May,2
2025-06-01,138241.0,2025,6,June,2
2025-07-01,200244.0,2025,7,July,3
2025-08-01,198235.0,2025,8,August,3
2025-09-01,158971.0,2025,9,September,3
2025-10-01,165193.0,2025,10,October,4
2025-11-01,212906.0,2025,11,November,4
2025-12-01,258928.0,2025,12,December,4
